species,coeff1,coeff2,coeff3,coeff4,coeff5
AlC,7.612238E+05,-8.85200E+04,2.633998E+01,2.09197E-04,-2.13086E-08
AlCl,1.889248E+05,-1.21504E+05,2.612218E+01,3.15178E-04,-2.07655E-08
AlF,2.00445E+05,-1.627328E+05,2.90276E+01,2.61782E-04,-1.60475E-08
AlH,8.524288E+05,-7.286908E+04,2.55046E+01,2.68907E-04,-2.72109E-08
AlN,2.015892E+05,-6.623545E+04,2.32567E+01,1.80755E-04,-6.33565E-09
AlO,3.550908E+05,-1.250686E+05,2.94347E+01,-3.97980E-04,2.26575E-08
AlS,7.858068E+05,-1.004616E+05,2.72653E+01,1.99862E-04,-2.02304E-08
CaBr,2.192688E+05,-8.26187E+04,2.00659E+01,-1.39623E-05,3.80996E-08
HBr,3.454978E+05,-9.00290E+04,2.477216E+01,5.454298E-04,-3.261985E-08
KBr,3.918572E+05,-9.329575E+04,2.26395E+01,-2.629938E-04,5.65734E-08
MgBr,-1.265638E+06,-6.509915E+04,1.42188E+01,1.95870E-03,-1.569378E-07
NaBr,2.412448E+05,-8.82980E+04,2.239936E+01,1.15203E-04,6.627208E-09
C2,2.26786E+05,-1.437755E+05,2.924298E+02,2.694348E-04,-2.79867E-08
CH,4.08366E+05,-8.44491E+04,2.54152E+01,1.07036E-04,-1.042648E-08
CN,4.515276E+05,-1.83350E+05,2.977718E+01,1.582678E-04,-1.725108E-08
CO,3.303405E+05,-2.597925E+05,3.236626E+01,3.333398E-04,-1.695218E-08
CP,1.88786E+05,-1.41029E+05,2.747628E+01,2.23829E-04,3.00269E-08
CS,2.542935E+05,-1.72618E+05,3.055968E+01,2.67035E-04,-1.591728E-09
SiC,8.92245E+03,-1.06824E+05,2.655028E+01,6.17803E-04,-7.50467E-08
CaCl,2.89596E+05,-9.88707E+04,2.132348E+01,-1.27956E-04,4.99210E-08
CaF,2.78304E+05,-1.28731E+05,2.277968E+01,-1.59953E-04,4.91523E-08
CaH,1.74300E+01,-3.01440E+00,4.23490E-01,-6.10672E-03,1.36090E-03
CaO,9.82733E+05,-9.79615E+04,3.02045CIE+01,-1.63458E-03,1.22927E-08
CaS,7.49535E+05,-8.48974E+04,2.86689E+01,-1.90377E-03,2.60756E-07
FeCl,1.19721E+05,-6.96358E+04,2.31413E+01,1.16921E-04,1.74760E-08
HCl,4.30684E+05,-1.06291E+05,2.61097E+01,4.66915E-04,-2.90088E-08
KCl,4.57163E+05,-1.04386E+05,2.38672E+01,-3.71773E-04,6.22590E-08
MgCl,2.61583E+05,-7.64530E+04,2.13099E+01,1.40106E-04,4.37268E-10
NaCl,3.07543E+05,-1.00087E+05,2.36342E+01,2.24759E-05,1.23522E-08
SrCl,2.83902E+05,-9.98457E+04,2.11864E+01,-2.39670E-04,6.44972E-08
TiCl,-5.33589E+05,-1.03003E+05,2.14848E+01,6.10716E-04,-2.38718E-08
ZrCl,2.03764E+06,-1.36193E+05,3.28050E+01,-1.58822E-03,1.43671E-07
CrH,1.22970E+01,-4.45050E+00,5.00790E-01,-7.13060E-02,3.62240E-03
CrO,4.85552E+04,-1.10261E+05,2.42209E+01,4.42743E-04,6.46033E-09
CuH,1.21520E+01,-3.91900E+00,3.09760E-01,-4.33890E-02,2.19330E-03
CuO,7.66870E+04,-6.77108E+04,2.32293E+01,2.59273E-04,0.00000E+00
CuS,1.25120E+01,-4.26360E+00,3.77500E-01,-5.40680E-02,2.75450E-03
FeF,1.80919E+05,-1.08616E+05,2.64979E+01,2.58587E-04,9.59261E-09
HF,4.48170E+05,-1.39254E+05,2.76153E+01,5.30150E-04,-3.37792E-08
KF,4.34955E+05,-1.20941E+05,2.53020E+01,-3.91875E-04,6.42692E-08
MgF,2.46987E+05,-1.12516E+05,2.29716E+01,1.27751E-04,9.28918E-10
NaF,2.89112E+05,-1.15949E+05,2.50664E+01,-1.39764E-05,1.43089E-08
SrF,2.64696E+05,-1.30451E+05,2.26748E+01,-2.64050E-04,6.79632E-08
TiF,-5.48274E+05,-1.45737E+05,2.26961E+01,6.05036E-04,-2.20220E-08
ZrF,2.02245E+06,-1.55331E+05,3.39389E+01,-1.68492E-03,1.45526E-07
FeO,2.18545E+05,-1.00927E+05,2.69229E+01,2.53772E-04,4.37490E-09
FeS,4.56757E+05,-7.77456E+04,2.39279E+01,3.02718E-04,6.29763E-09
H2,4.25321E+05,-1.07123E+05,2.69960E+01,5.48200E-04,-3.81498E-08
KH,4.61020E+05,-4.69400E+04,2.20510E+01,-4.10568E-04,6.33994E-08
MgH,2.90391E+05,-4.91449E+04,1.96635E+01,1.52956E-04,-6.37175E-09
MnH,1.17360E+01,-3.68340E+00,4.16090E-01,-6.05280E-02,3.12470E-03
NH,4.11181E+05,-7.79746E+04,2.42428E+01,4.09611E-04,-2.55866E-08
NaH,3.27109E+05,-5.04181E+04,2.20731E+01,-3.03192E-05,1.29540E-08
NiH,1.25200E+01,-3.43310E+00,1.96300E-01,-2.53770E-02,1.28120E-03
OH,4.15670E+05,-1.05260E+05,2.54985E+01,-1.78020E-04,-2.82416E-08
PH,3.31648E+05,-7.38466E+04,2.28504E+01,2.55732E-04,-7.78159E-09
SH,3.65656E+05,-8.77172E+04,2.41557E+01,3.40917E-04,-2.09217E-08
SiH,2.45408E+05,-7.17752E+04,2.29449E+01,4.52999E-04,2.69244E-09
SrH,1.18270E+01,-3.61940E+00,6.71890E-01,-9.89270E-02,5.12260E-03
ZrH,1.39655E+06,-8.21278E+04,2.71670E+01,-2.67893E-04,4.48746E-08
KO,4.11974E+05,-6.64308E+04,2.28416E+01,4.41578E-04,5.68247E-09
MgN,2.50267E+05,-8.09495E+04,2.05587E+01,4.19383E-05,1.08947E-08
MgO,-3.68825E+05,-7.91991E+04,2.24741E+01,-3.33176E-04,3.46191E-08
MgS,-3.64897E+05,-6.47278E+04,2.04150E+01,-1.93425E-04,2.73635E-08
MnO,1.32460E+01,-5.47690E+00,4.31250E-01,-6.30930E-02,3.26060E-03
MnS,1.31510E+01,-4.38210E+00,4.57370E-01,-6.68490E-02,3.45210E-03
N2,3.80144E+05,-2.28698E+05,3.09554E+01,2.71276E-04,-6.21348E-09
NO,3.18598E+05,-1.53355E+05,2.79315E+01,2.76970E-04,-9.14848E-09
NP,2.17270E+05,-1.69530E+05,2.77341E+01,2.05285E-04,8.52568E-09
SN,2.71848E+05,-1.18293E+05,2.65189E+01,1.86122E-04,-5.20791E-09
SiN,3.30323E+05,-1.34105E+05,2.82397E+01,-4.05990E-05,5.40508E-09
TiN,1.40330E+01,-6.45520E+00,5.37100E-01,-7.68260E-02,3.90560E-03
ZrN,1.23568E+06,-9.53262E+04,3.15618E+01,-2.99673E-04,5.36403E-08
K2O,2.63420E+05,-6.70027E+04,2.25316E+01,-5.08732E-05,1.70476E-08
NiO,1.30130E+01,-5.01710E+00,2.10760E-01,-2.82510E-02,1.40000E-03
O2,3.17263E+05,-1.21503E+05,3.11753E+01,2.53855E-04,-1.73743E-08
PO,1.28604E+05,-1.43605E+05,2.63196E+01,2.83274E-04,0.00000E+00
SO,3.21629E+05,-1.27035E+05,2.89402E+01,1.25603E-04,-9.85969E-09
ScO,1.37470E+01,-8.64200E+00,4.80720E-01,-6.96700E-02,3.57470E-03
SiO,1.82780E+05,-1.92839E+05,3.03804E+01,4.16079E-04,-1.91035E-08
SrO,1.00720E+06,-1.08101E+05,3.01072E+01,-1.70092E-03,1.38629E-07
TiO,-4.38897E+05,-1.58111E+05,2.49224E+01,1.08714E-03,-5.62504E-08
VO,3.72448E+05,-1.54943E+05,3.03026E+01,4.26039E-04,-1.15337E-08
YO,1.35140E+01,-8.77750E+00,4.07000E-01,-5.80530E-02,2.95350E-03
ZrO,1.15993E+06,-1.98326E+05,3.60419E+01,-1.19334E-03,1.02142E-07
P2,9.29353E+04,-1.17921E+05,2.74788E+01,1.96149E-04,1.92519E-08
PS,1.35050E+05,-1.09920E+05,2.48638E+01,2.02791E-04,2.43618E-09
S2,2.24963E+05,-1.03636E+05,2.85814E+01,1.77872E-04,-8.41752E-09
ScS,1.35000E+01,-6.46400E+00,5.04580E-01,-7.31170E-02,3.74880E-03
SiS,1.44507E+05,-1.49916E+05,2.87381E+01,3.96186E-04,-2.18002E-08
SrS,9.62153E+05,-8.59023E+04,2.93755E+01,-2.14852E-03,1.85611E-07
TiS,1.33160E+01,-6.22160E+00,4.58290E-01,-6.49300E-02,3.27880E-03
YS,1.35120E+01,-7.04210E+00,5.11740E-01,-7.38570E-02,3.78110E-03
ZrS,1.36940E+01,-7.40240E+00,4.61330E-01,-6.30040E-02,3.12240E-03
Si2,-1.10204E+05,-7.41179E+04,2.57470E+01,1.37542E-04,-2.83506E-09
Al2O,6.07821E+04,-2.52793E+05,5.85868E+01,2.94880E-04,-1.49230E-08
AlCl2,7.04255E+05,-2.07583E+05,3.30039E+01,2.51910E-04,-1.69088E-08
AlClF,7.01351E+05,-2.47529E+05,5.33236E+01,2.28730E-04,-1.52921E-08
AlOCl,7.65916E+05,-2.54000E+05,6.10901E+01,3.92406E-04,-1.08355E-08
AlF2,7.04605E+05,-2.86526E+05,5.66162E+01,2.07716E-04,-1.38227E-08
AlOF,6.16111E+05,-2.99645E+05,6.30711E+01,-1.30321E-04,6.00847E-09
AlHO,9.51037E+05,-1.87634E+05,5.98330E+01,8.98062E-05,-1.46266E-08
AlOH,1.01901E+06,-2.39925E+05,6.15071E+01,1.52650E-04,-1.37783E-08
Al2O,2.20865E+05,-2.20035E+05,5.84540E+01,0.00000E+00,0.00000E+00
CaBr2,0.00000E+00,-1.88233E+05,4.54301E+01,4.08364E-05,3.69544E-08
MgBr2,8.27555E+04,-1.61545E+05,4.75293E+01,1.66312E-04,0.00000E+00
C2H,6.31402E+05,-2.85395E+05,5.97427E+01,1.13748E-04,-2.04586E-08
C2N,3.05118E+05,-3.24444E+05,5.98669E+01,0.00000E+00,0.00000E+00
C2O,3.56583E+05,-3.36691E+05,6.30120E+01,-2.15913E-04,1.12031E-08
CH2,6.99399E+05,-1.88493E+05,5.33630E+01,5.15801E-04,-3.28189E-08
HCN,6.02063E+05,-3.08724E+05,6.00139E+01,1.66592E-04,-1.13252E-08
HCO,6.07224E+05,-2.77376E+05,5.66759E+01,4.80619E-04,-2.82627E-08
NCO,3.22530E+05,-3.08692E+05,6.20446E+01,5.46329E-05,0.00000E+00
CO2,5.34072E+05,-3.88536E+05,6.95497E+01,0.00000E+00,0.00000E+00
COS,3.84946E+05,-3.33394E+05,6.59981E+01,-6.67359E-05,0.00000E+00
Cs,2.41613E+05,-2.78285E+05,6.52867E+01,-1.07214E-04,0.00000E+00
Si2C,2.34924B+05,-2.60546B+05,6.29047E+01,2.75378E-04,-3.64630E-08
CaCl2,2.75428E+05,-2.15484B+05,4.91645E+01,-4.41153B-04,7.178535-08
CaF2,3.59500E+05,-2.70725E+05,5.10997E+01,-1.96516E-04,6.15049E-08
CaOH,4.81970E+05,-2.04396B+05,5.14480E+01,-1.90986E-04,4.94457B-08
FeCl2,2.31158E+05,-1.93215BE+05,5.39960B+01,-2.58974E-04,3.49128B5-08
MgCl2,2.24867B+05,-1.88677E+05,5.03953E+01,-6.12749E-05,1.16459B-08
SrCl2,3.82681E+05,-2.13043E+05,4.62372E+01,-2.59593E-04,7.99209E-08
